SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_B100000768	TARA_20101126Z	TARA_082	TARA_20101206T1033Z_082_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.476837	0.584962	0.800841	0.848641	0.894431	0.724874	3890.121166	3744.534136	6.358772575	2666.86	7.208380499	12924	0.761434925
TARA_B100000745	TARA_20101031Z	TARA_078	TARA_20101105T1235Z_078_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.084879	0.559083	0.006772	0.461009	0.738561	0.65728	7167.611118	7219.954774	6.906904103	4477.58	7.16861862	20751.3	0.721162719
TARA_B100000530	TARA_20101031Z	TARA_078	TARA_20101104T1816Z_078_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.084879	0.559083	0.006772	0.461009	0.738561	0.65728	NA	NA	NA	NA	NA	NA	NA
TARA_B100000524	TARA_20101031Z	TARA_078	TARA_20101104T1015Z_078_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.084879	0.559083	0.006772	0.461009	0.738561	0.65728	NA	NA	NA	NA	NA	NA	NA
TARA_B100000749	TARA_20101003Z	TARA_076	TARA_20101017T0905Z_076_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.337256	0.398536	0.160856	0.228668	0.674899	0.578854	6449.138881	6384.750653	6.890998596	4036.94	7.292094076	21377.9	0.731395365
TARA_B100000519	TARA_20101003Z	TARA_076	TARA_20101016T1700Z_076_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.337256	0.398536	0.160856	0.228668	0.674899	0.578854	NA	NA	NA	NA	NA	NA	NA
TARA_B100000513	TARA_20101003Z	TARA_076	TARA_20101016T0955Z_076_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.337256	0.398536	0.160856	0.228668	0.674899	0.578854	NA	NA	NA	NA	NA	NA	NA
TARA_B100000508	TARA_20101003Z	TARA_072	TARA_20101006T0759Z_072_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.321126	0.355823	0.555398	0.614966	0.657113	0.715698	NA	NA	NA	NA	NA	NA	NA
TARA_B100000427	TARA_20101003Z	TARA_072	TARA_20101005T1535Z_072_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.321126	0.355823	0.555398	0.614966	0.657113	0.715698	NA	NA	NA	NA	NA	NA	NA
TARA_B100000424	TARA_20101003Z	TARA_072	TARA_20101005T0800Z_072_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.321126	0.355823	0.555398	0.614966	0.657113	0.715698	NA	NA	NA	NA	NA	NA	NA
TARA_B100000446	TARA_20100905Z	TARA_070	TARA_20100922T0637Z_070_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.497782	0.615748	0.058983	0.069514	0.661405	0.556013	NA	NA	NA	NA	NA	NA	NA
TARA_B100000459	TARA_20100905Z	TARA_070	TARA_20100921T0655Z_070_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.497782	0.615748	0.058983	0.069514	0.661405	0.556013	NA	NA	NA	NA	NA	NA	NA
TARA_B100000482	TARA_20100905Z	TARA_068	TARA_20100914T1330Z_068_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.530677	0.598411	0.571469	0.723138	0.841446	0.674945	NA	NA	NA	NA	NA	NA	NA
TARA_B100000475	TARA_20100905Z	TARA_068	TARA_20100914T0655Z_068_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.530677	0.598411	0.571469	0.723138	0.841446	0.674945	NA	NA	NA	NA	NA	NA	NA
TARA_B100000470	TARA_20100905Z	TARA_068	TARA_20100913T1303Z_068_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.530677	0.598411	0.571469	0.723138	0.841446	0.674945	5525.554522	5351.723153	6.922447734	3396.34	7.151633092	17660.3	0.731320211
TARA_B100000497	TARA_20100905Z	TARA_067	TARA_20100907T0619Z_067_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.782904	0.949089	0.993598	1.183984	0.993712	0.863959	NA	NA	NA	NA	NA	NA	NA
TARA_B000000477	TARA_20100624Z	TARA_066	TARA_20100715T1539Z_066_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.897426	1.350827	0.839606	1.425647	0.384711	0.890853	NA	NA	NA	NA	NA	NA	NA
